playlist_tvg_id,guide_id,display_name
balkantrip.ba,iptv#ch-461-balkan-trip-hd,BALKAN TRIP
dokutv.ba,DokuTV.hr,Doku TV HD
hbo.hr,276767784251,HBO
hbo2.hr,276771368141,HBO 2 HD
hbo3.hr,276767784254,HBO 3
cinestarpremiere1.hr,CineStarTVPremiere1.hr,Cinestar TV Premiere 1 ᴴᴰ
cinestarpremiere2.hr,CineStarTVPremiere2.hr,Cinestar TV Premiere 2 ᴴᴰ
cinestartv2.hr,CineStarTV2.hr,CineStar TV 2
CineStar.TV.Action.and.Thriller.hr (src05),CineStarTVAction.hr,CineStar TV Action and Thriller
cinestaraction&thriller.hr,CineStarTVAction.hr,CineStar TV Action and Thriller ᴴᴰ ➁
CineStar.TV.Fantasy.HD.(BIH).ba (src05),CineStarTVFantasy.hr,CINESTAR FANTASY ᴴᴰ
cinestartvfantasy.hr,CineStarTVFantasy.hr,Cinestar Fantasy
cinestartvcomedy&family.bh,CineStarTVComedy.hr,CineStar TV Comedy and Family ᴴᴰ ➁
cinemax.hr,276770344388,CINEMAX ᴴᴰ ➁
cinemax2.hr,276767784259,Cinemax 2
star.rs,276770856295,STAR CHANNEL
starlife.hr,276771368133,STAR Life ᴴᴰ ➁
starcrime.hr,276770856280,STAR Crime
starmovies.hr,276770344385,STAR Movies ᴴᴰ ➁
amc.hr,485655592331,AMC ᴴᴰ ➁
epicdrama.hr,276771368146,EPIC DRAMA
klasiktv.hr,Klasik.hr,KLASIK TV
kinotv.hr,KinoTV.hr,Kino TV HD
tv1000.hr,338257448306,Viasat Kino Balkan
superstar2.ba,iptv#ch-442-superstar-2,SUPERSTAR TV 2
superstar3.ba,iptv#ch-superstar-3-hd,SUPERSTAR TV 3
filmboxpremium.hr,iptv#ch-286-filmbox-premium,FILMBOX PREMIUM HD
filmboxarthouse.ba,iptv#ch-124-filmbox-arthouse,FILMBOX ARTHOUSE
filmboxextra.hr,iptv#ch-120-filmbox-extra,Filmbox Extra
